X1,b0,rho_V,sd_V,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,loglik,loglik.se
NA,0.13,152.9340999774729,3700.8081796318065,1.171500185998772,3.868666886173984,1.2268566740731819,2.0962768504427274,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0190325869875,0.12027764140959282
3,0.145814021,153.0026155,3622.392926,1.140106496,0.082084529,1.207711579,5.795843269,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0196933,0.052057833
16,0.125603379,156.6656317,3710.287315,1.165428852,1.431700497,1.166403574,3.467158639,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0199563,0.041571127
35,0.270767372,155.3182243,3740.170475,1.016239601,0.425231487,1.17325082,7.368128671,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0202018,0.049408089
NA,0.26525573560831717,152.99999999999997,3362.8067682984206,0.9818527271375135,2.4957014705384784,1.2338702238421615,15.199504123785001,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.021917804058,0.1997079422894647
NA,0.4184278492364148,145.50000000000003,3151.5982565310655,0.9139426599560733,3.8699132514659014,1.191953065406396,16.62592204601234,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0224099515547,0.12742104105567828
3,0.216822015,154.7334059,3649.378592,1.045763253,1.054896418,1.170526368,11.58868094,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0233781,0.051187468
13,0.165500982,147.2904164,3266.455959,1.114860173,0.340797808,1.187959611,10.78593102,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0235539,0.051433143
2,0.124549035,157.0112893,3829.028142,1.176719189,0.469202637,1.21714578,2.615661886,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0235577,0.051247558
18,0.172502851,148.8595475,3366.413984,1.100936229,4.875438998,1.227023663,7.10084535,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0240182,0.043111072
5,0.155959694,149.6973694,3392.048039,1.146204266,1.167802637,1.179386899,2.757163607,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0240746,0.052701612
NA,0.20017754513368702,147.50000000000006,3339.979696682471,1.0771617858399944,3.3135907228157575,1.200556369462797,6.1681067599226544,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0247011773776,0.12238084030216825
NA,0.18771294369458932,147.99999999999994,3177.479688843557,1.0677439186748452,8.118135713996294,1.241468994938113,13.828132503189316,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0252197249339,0.2719022144402552
15,0.205995775,148.7212802,3428.810405,1.060104136,3.753704166,1.156479591,9.80428453,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0254765,0.050973226
17,0.147858938,153.4042048,3659.777839,1.130971131,2.55866913,1.16288478,4.65680061,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.025829,0.051184268
28,0.198233906,149.0676607,3475.997507,1.065632042,1.104169512,1.175003074,13.45191858,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0271189,0.044584639
9,0.239370698,155.5752623,3697.898744,1.039167884,1.261663003,1.218943722,7.132404514,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0284241,0.058398427
20,0.194573137,153.1387985,3608.45883,1.077436621,0.947442887,1.116939713,7.096484248,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0285585,0.037430257
NA,0.185,149.77720610372995,3399.3460023903876,1.1001091336788806,1.222644499575269,1.2091912244044911,7.384528622140057,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0286544848569,0.08533291196001953
NA,0.21275637705891123,154.00143904380317,3365.896612338553,1.0573089155992665,4.149511321003774,1.2649852328201225,10.369193720762707,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0293850977474,0.19556036478722225
1,0.314350488,151.6790706,3474.373444,0.974538079,0.759128474,1.200709422,12.93013647,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0299986,0.050941065
49,0.274712421,152.4311755,3596.525892,0.996630708,0.234733681,1.118306687,15.13619526,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0301571,0.053478403
11,0.321553254,154.2661087,3574.578287,0.973659684,0.051772126,1.150474409,13.15936333,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0315922,0.063869542
18,0.294881302,151.0169118,3403.284188,0.97891458,0.493377873,1.173552074,17.28698011,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0318131,0.05071947
2,0.143540334,146.6989931,3424.194649,1.150607897,2.128674119,1.178339368,5.164029229,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0321664,0.040678721
NA,0.19835656167629978,144.99999999999997,3301.5777691117846,1.0580401502460792,3.839249152909745,1.1414409884949124,11.2126854965686,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0325067218511,0.12338764078944253
31,0.361678173,147.8232478,3471.754424,0.941107984,0.627834871,1.16069221,17.6066356,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0353216,0.055162632
NA,0.17,146.77228706228578,3346.7781150544733,1.0818993443554783,5.884757761866937,1.0407242309522342,9.911372681528778,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-761.0360463395691,0.40056779697874095
9,0.234418744,153.1734819,3580.604321,1.029101584,3.398601126,1.189266626,10.04401235,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0377757,0.058642731
43,0.211557298,157.9147903,3757.922975,1.053327009,0.064701148,1.219977551,6.825345395,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0379581,0.063939558
1,0.118626092,149.0975734,3517.588813,1.177250907,0.697582614,1.238041358,4.646667075,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.039359,0.040312125
