,b0,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,rho_V,sd_V,loglik,loglik.se
8,0.133439674,1.146412663,0.238782713,1.117118751,7.716764559,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7835362,0.021912335
9,0.120427335,1.160441131,0.812192717,1.143563091,7.863572863,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7627382,0.029469665
10,0.111560272,1.183915196,0.16108639,1.109532757,7.762585171,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7721012,0.019967659
11,0.155204249,1.111755457,0.810882122,1.11907018,8.888473522,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7408473,0.018059242
12,0.143222879,1.125785334,0.778802392,1.136923754,7.451814544,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8278697,0.019017633
13,0.12276422,1.168010559,0.259213784,1.127649913,6.61435856,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7507554,0.018180428
14,0.162398019,1.097677641,0.283112916,1.12651336,11.34158591,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7746614,0.02344364
15,0.159235795,1.107264581,0.643967737,1.138950909,8.707210407,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7653281,0.01607987
16,0.162294065,1.098481086,2.075458117,1.154787254,9.289491044,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8231741,0.020825986
17,0.177009154,1.090401572,0.455962961,1.157885455,8.525874551,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8163237,0.019470397
18,0.123337388,1.15815974,1.00597077,1.140582336,8.152384405,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7722637,0.018066939
19,0.133372948,1.145883396,0.400370742,1.124226762,7.328685395,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7482986,0.015577032
20,0.162417129,1.100915474,0.536119117,1.152457754,9.430101863,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7597522,0.019901234
21,0.142285113,1.123230398,0.498484998,1.115984503,9.96741681,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7797031,0.018700559
22,0.125547698,1.159408516,0.394941328,1.133252718,7.358186221,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7746434,0.017163999
23,0.13062847,1.147925276,1.627388469,1.134816141,7.476716227,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8294528,0.021507278
24,0.1418768,1.133722316,0.329833598,1.145093599,7.932325277,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7908993,0.017057238
25,0.159155975,1.107868026,0.632411468,1.131634707,7.775918001,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8220984,0.02369893
26,0.14468365,1.127223129,0.450578292,1.130802309,8.687727782,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7488996,0.018341231
27,0.130113946,1.146963873,0.959698407,1.111898953,9.301786822,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8468656,0.015475981
28,0.12777739,1.15886525,0.44502837,1.127484993,7.016666545,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7979518,0.022466321
29,0.127058057,1.152513082,0.923243256,1.116263985,7.585733788,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.74243,0.020546774
30,0.180049283,1.085981471,0.601718462,1.143141554,8.080310564,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8076632,0.017584944
31,0.183869424,1.079815758,0.37577568,1.129036155,9.637835137,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7881102,0.01976218
32,0.147627941,1.124339712,1.17673029,1.131397471,8.264164728,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8438734,0.020318225
33,0.161726495,1.101722949,0.536809719,1.128757588,9.81808872,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7851198,0.020550941
34,0.157061514,1.100744315,0.681129039,1.143884452,10.75808371,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8310028,0.018716294
35,0.124497785,1.159059552,0.169930428,1.113170558,7.975756843,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7730715,0.016554634
36,0.143391841,1.131881906,0.538100585,1.142307443,7.764662612,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8032299,0.020073679
37,0.134772387,1.142451141,0.328934276,1.145690886,7.736355114,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7687841,0.022700947
